Country,Economy(GDP per Capita)_2015,Economy(GDP per Capita)_2016,Economy(GDP_per_Capita)_2017,Economy(GDP_per_Capita)_2018,Economy(GDP_per_Capita)_2019,Economy(GDP_per_Capita)_2020
Ukraine,0.7991,0.8729,0.8947,0.793,0.82,9.0107
Iraq,0.9855,1.0747,1.1027,1.01,1.043,9.6611
South Africa,0.9205,1.0242,1.0547,0.94,0.96,9.4034
Ghana,0.5456,0.6311,0.6672,0.592,0.611,8.3506
Zimbabwe,0.271,0.3504,0.3758,0.357,0.366,7.8657
Liberia,0.0712,0.1071,0.119,0.076,0.073,7.0544
India,0.645,0.7404,0.7922,0.721,0.755,8.8498
Haiti,0.2667,0.341,0.3686,0.315,0.323,7.4113
Congo (Kinshasa),0.0,0.0566,0.0921,0.069,0.094,6.6943
Nepal,0.36,0.4463,0.4798,0.425,0.446,7.9254
Ethiopia,0.1907,0.2928,0.3392,0.308,0.336,7.5094
Sierra Leone,0.3302,0.3648,0.3684,0.256,0.268,7.2688
Mauritania,0.4541,0.6139,0.6485,0.557,0.57,8.2339
Kenya,0.3647,0.5227,0.5605,0.493,0.512,8.0298
Armenia,0.7682,0.8609,0.9006,0.816,0.85,9.1005
Botswana,0.9936,1.0943,1.1221,1.017,1.041,9.7112
Myanmar,0.2711,0.3411,0.3671,0.682,0.71,8.6805
Georgia,0.7419,0.8379,0.9506,0.853,0.886,9.2261
Malawi,0.016,0.0871,0.2334,0.186,0.191,7.0622
Sri Lanka,0.8352,0.9732,1.0099,0.918,0.949,9.39
Cameroon,0.4225,0.525,0.5643,0.535,0.549,8.1186
Bulgaria,1.0122,1.1131,1.1615,1.054,1.092,9.8693
Egypt,0.8818,0.954,0.9897,0.885,0.913,9.3165
Yemen,0.5465,0.5794,0.5917,0.442,0.287,7.7597
Mali,0.2607,0.3129,0.4762,0.37,0.385,7.6299
Congo (Brazzaville),0.6787,0.7711,0.809,0.682,0.673,8.537
Uganda,0.211,0.3472,0.3814,0.322,0.332,7.5004
Senegal,0.365,0.4431,0.4793,0.429,0.45,8.119
Gabon,1.0602,1.1585,1.1982,1.036,1.057,9.6805
Niger,0.0694,0.1327,0.1619,0.131,0.138,6.8422
Cambodia,0.4604,0.556,0.6018,0.549,0.574,8.2499
Tanzania,0.2852,0.4716,0.5111,0.455,0.476,7.9677
Madagascar,0.2082,0.2795,0.3058,0.262,0.274,7.2817
Chad,0.3419,0.4221,0.438,0.358,0.35,7.468
Guinea,0.1742,0.2242,0.2445,0.344,0.38,7.751
Ivory Coast,0.4653,0.5551,0.603,0.541,0.569,8.2256
Burkina Faso,0.2581,0.32,0.3502,0.314,0.331,7.4685
Afghanistan,0.3198,0.3823,0.4015,0.332,0.35,7.4629
Rwanda,0.2221,0.3285,0.3687,0.332,0.359,7.6001
Benin,0.2866,0.395,0.4311,0.378,0.393,7.6743
Burundi,0.0153,0.0683,0.0916,0.091,0.046,6.4926
Togo,0.2087,0.2812,0.3054,0.259,0.275,7.3577
